nome,email,telefone,data_nascimento
Davi Lucas Ramos,rebeca15@hotmail.com,(071) 4667-0130,1979-06-15
Ana Laura Santos,vteixeira@aragao.br,0300-986-9141,1992-11-26
Sra. Julia Rodrigues,qcampos@bol.com.br,+55 11 3373-1566,1978-03-24
Bernardo da Paz,yagocardoso@yahoo.com.br,+55 (041) 6590-7807,2002-11-09
Levi da Cunha,thomas70@uol.com.br,+55 (041) 2738 7368,1970-09-23
Maria Fernanda da Costa,leonardobarros@ig.com.br,+55 61 1732-1406,1999-11-25
Joaquim Oliveira,qvieira@ig.com.br,+55 61 5766 3492,1991-07-31
Sr. João Pedro da Conceição,calebemelo@da.org,51 7185 1442,1966-07-24
Antônio Porto,levi99@hotmail.com,(021) 1344 2734,1980-12-12
João Felipe da Luz,aazevedo@yahoo.com.br,+55 (051) 0626 3965,2005-09-09
João Miguel Cavalcanti,calebenovaes@cunha.br,+55 61 2636-5319,1991-01-08
Lorenzo Mendes,arocha@ferreira.com,(071) 6029 2906,1966-12-02
Dra. Elisa Castro,osilva@fernandes.com,81 4271-5091,2000-07-01
Dr. Bernardo Cardoso,silvaluana@ig.com.br,0500-662-1784,1976-12-07
Srta. Melissa Pinto,maria-julianogueira@hotmail.com,+55 41 2290 2862,1979-07-18
Sra. Mirella Pinto,otaviolima@yahoo.com.br,+55 (061) 7851-6331,1969-12-20
João Lucas Cavalcanti,fsilva@silva.com,(084) 5935 9223,1989-11-30
Alexandre da Paz,valentinafreitas@barbosa.br,+55 (031) 8666-0986,1966-01-25
Pedro Henrique Cavalcanti,vianalara@ribeiro.br,(031) 4387 9042,1972-09-13
Ana Júlia Cavalcanti,gomesvitor-hugo@pereira.org,71 2328 9813,1987-09-12
